"   Data/Date
(YYYYMMDD)";"Ora
/Hour";PUN;AUST;BSP;CALA;CNOR;COAC;CORS;CSUD;FRAN;GREC;MALT;MONT;NORD;SARD;SICI;SLOV;SUD;SVIZ;XAUS;XFRA;XGRE
20210101;1;50.87;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;50.87
20210101;2;48.19;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48.19
20210101;3;44.68;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;44.68
20210101;4;42.92;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;42.92
20210101;5;40.39;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40.39
20210101;6;40.20;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40.20
20210101;7;39.63;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;39.63
20210101;8;40.09;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40.09
20210101;9;41.27;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41.27
20210101;10;41.67;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;41.67
20210101;11;45.00;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45.00
20210101;12;47.20;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47.20
20210101;13;48.43;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48.43
20210101;14;45.49;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45.49
20210101;15;44.73;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;44.73
20210101;16;46.59;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46.59
20210101;17;52.99;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;52.99
20210101;18;60.26;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60.26
